Id,Sales
1,4317.3
2,7429.28
3,8959.36
4,8014.74
5,7777.9
6,5688.96
7,8125.86
8,8352.6
9,5998.8
10,5549.7
11,7246.28
12,7865.26
13,7616.2
14,9547.98
15,5572.36
16,4993.46
17,5718.48
18,9930.16
19,10682.94
20,9897.8
21,7696.48
22,4494.76
23,6001.98
24,4545.0
25,7330.26
26,11740.56
27,9591.74
28,5635.84
29,4957.7
30,4743.3
31,5623.72
32,10318.64
33,7137.86
34,5506.16
35,5543.64
36,8111.5
37,3667.74
38,7648.7
39,4342.76
40,7451.24
41,7087.82
42,5442.46
43,7977.76
44,7770.02
45,4784.48
46,6444.78
47,8018.44
48,11731.04
49,6089.98
50,8074.74
51,7241.2
52,9504.02
53,6172.88
54,9611.62
55,4818.8
56,5001.68
57,6076.98
58,6046.62
59,10167.7
60,7725.66
61,5613.06
62,7350.02
63,6829.94
64,10234.16
65,4035.08
66,12639.42
67,4837.92
68,6056.28
69,8410.22
70,5287.46
71,6311.14
72,6445.24
73,7571.44
74,5585.96
75,5529.04
76,7572.5
77,7846.72
78,7175.94
79,4887.84
80,7187.3
81,12227.98
82,6961.92
83,4575.08
84,6826.66
85,6199.66
86,6027.54
87,8030.7
88,3966.82
89,8037.8
90,6016.46
91,7095.5
92,7425.14
93,4114.8
94,5537.3
95,5503.02
96,8861.46
97,8726.56
98,5067.96
99,4753.92
100,7176.78
101,5895.18
102,6206.68
103,7730.5
104,6699.24
105,7465.94
106,5842.5
107,4272.98
108,7099.7
109,8337.18
110,8660.12
111,8585.72
112,8074.2
113,5710.74
114,8788.92
115,5519.16
116,7486.36
117,8423.98
118,6442.94
119,10267.02
120,7910.22
121,8155.32
122,6160.0
123,7407.76
124,8417.82
125,6056.56
126,3962.48
127,5477.88
128,8039.84
129,5785.66
130,4882.64
131,8509.42
132,6730.18
133,6057.36
134,6713.34
135,5312.72
136,7359.22
137,7098.9
138,7111.14
139,5476.88
140,4844.8
141,5983.78
142,3871.28
